Date,3M,10Y,20Y
19980101,5.22,5.75,5.94
19980102,5.18,5.67,5.94
19980105,5.09,5.52,5.82
19980106,5.08,5.49,5.8
19980107,5.09,5.55,5.88
19980108,5,5.49,5.82
19980109,4.92,5.4,5.77
19980112,4.91,5.39,5.76
19980113,5.03,5.41,5.76
19980114,5.04,5.45,5.79
19980115,5,5.48,5.81
19980116,5.02,5.54,5.87
19980119,5.02,5.54,#N/A
19980120,5.02,5.57,5.89
19980121,5,5.54,5.87
19980122,5,5.56,5.91
19980123,5.04,5.7,6.04
19980126,5.01,5.63,5.96
19980127,5.1,5.7,6.02
19980128,5.09,5.69,6.02
19980129,5.06,5.58,5.92
19980130,5.06,5.53,5.88
19980202,5.1,5.57,5.93
19980203,5.12,5.56,5.93
19980204,4.98,5.57,5.94
19980205,5.01,5.62,6
19980206,5.04,5.62,5.99
19980209,5.01,5.65,6.02
19980210,5.07,5.64,6
19980211,5.08,5.53,5.92
19980212,5.08,5.52,5.94
19980213,5.09,5.49,5.92
19980216,5.09,5.49,#N/A
19980217,5.04,5.44,5.86
19980218,5.06,5.49,5.9
19980219,5.07,5.51,5.91
19980220,5.08,5.54,5.93
19980223,5.12,5.58,5.97
19980224,5.13,5.69,6.04
19980225,5.17,5.63,5.99
19980226,5.2,5.65,6.01
19980227,5.18,5.62,5.99
19980302,5.18,5.72,6.09
19980303,5.09,5.77,6.14
19980304,5.05,5.76,6.11
19980305,5.04,5.78,6.14
19980306,5.02,5.73,6.09
19980309,5.03,5.67,6.04
19980310,4.96,5.67,6.03
19980311,4.96,5.63,6
19980312,4.95,5.56,5.94
19980313,4.96,5.58,5.95
19980316,4.97,5.54,5.92
19980317,5.01,5.56,5.95
19980318,5.03,5.58,5.97
19980319,5.04,5.58,5.97
19980320,5.05,5.57,5.95
19980323,5.02,5.57,5.95
19980324,5.03,5.58,5.95
19980325,5.04,5.64,6
19980326,5.08,5.68,6.02
19980327,5.08,5.68,6.03
19980330,5.09,5.72,6.06
19980331,5.02,5.67,6.02
19980401,4.99,5.62,5.98
19980402,4.97,5.56,5.92
19980403,4.95,5.47,5.85
19980406,4.97,5.51,5.89
19980407,4.94,5.53,5.91
19980408,4.93,5.58,5.96
19980409,4.94,5.59,5.95
19980410,4.94,5.59,#N/A
19980413,5.05,5.66,6.01
19980414,5.02,5.63,5.98
19980415,4.95,5.6,5.96
19980416,4.91,5.59,5.94
19980417,4.92,5.59,5.95
19980420,4.91,5.65,6
19980421,4.94,5.68,6.03
19980422,4.96,5.68,6.04
19980423,4.96,5.69,6.05
19980424,4.95,5.67,6.02
19980427,4.94,5.8,6.15
19980428,4.93,5.8,6.15
19980429,4.94,5.81,6.15
19980430,4.87,5.68,6.04
19980501,4.89,5.67,6.02
19980504,4.91,5.67,6.02
19980505,4.98,5.7,6.05
19980506,4.98,5.67,6.02
19980507,4.98,5.67,6.02
19980508,5,5.71,6.05
19980511,5,5.79,6.12
19980512,4.99,5.7,6.04
19980513,4.99,5.64,6.02
19980514,5.04,5.67,6.05
19980515,5.04,5.68,6.05
19980518,5.05,5.64,5.99
19980519,5.09,5.65,6.02
19980520,5.07,5.61,5.98
19980521,5.1,5.65,6.01
19980522,5.08,5.64,5.99
19980525,5.08,5.64,#N/A
19980526,5,5.59,5.94
19980527,4.96,5.56,5.93
19980528,4.93,5.58,5.93
19980529,4.89,5.56,5.9
19980601,4.85,5.53,5.87
19980602,4.95,5.56,5.89
19980603,5,5.57,5.89
19980604,4.98,5.59,5.91
19980605,4.98,5.58,5.89
19980608,5,5.58,5.89
19980609,5.03,5.59,5.89
19980610,5.01,5.51,5.8
19980611,4.97,5.44,5.74
19980612,4.99,5.43,5.75
19980615,4.98,5.38,5.7
19980616,5.06,5.45,5.75
19980617,5.09,5.54,5.84
19980618,5.05,5.5,5.8
19980619,5.03,5.47,5.78
19980622,4.99,5.46,5.77
