Date,CFNAI
19881230,0.831839
19890127,0.461583
19890224,-0.513923
19890331,-0.170541
19890428,0.136473
19890526,-0.911833
19890630,-0.264956
19890728,-1.154056
19890825,0.646976
19890929,-0.702015
19891027,-0.55784
19891124,0.234821
19891229,-0.081953
19900126,-0.298954
19900223,0.844234
19900330,0.190778
19900427,-0.998602
19900525,-0.1328
19900629,-0.169299
19900727,-0.911309
19900831,-0.561189
19900928,-1.132268
19901026,-1.578485
19901130,-2.101344
19901228,-1.423641
19910125,-1.632315
19910222,-1.5933
19910329,-1.498711
19910426,-0.216178
19910531,-0.298098
19910628,0.088491
19910726,-0.11764
19910830,-0.487821
19910927,0.387603
19911025,-0.680666
19911129,-0.666031
19911227,-1.116446
19920131,-0.367001
19920228,0.026415
19920327,0.555941
19920424,0.301843
19920529,-0.088225
19920626,-0.076419
19920731,0.458333
19920828,-0.763507
19920925,-0.078144
19921030,0.343972
19921127,0.163987
19921225,0.526059
19930129,0.385928
19930226,0.280597
19930326,-0.70098
19930430,0.339815
19930528,-0.075893
19930625,-0.029255
19930730,0.048666
19930827,-0.005798
19930924,0.487838
19931029,0.545616
19931126,0.462163
19931231,0.735164
19940128,0.131807
19940225,0.226298
19940325,1.404312
19940429,0.485999
19940527,0.773809
19940624,0.639496
19940729,0.201706
19940826,1.092617
19940930,0.381879
19941028,0.915876
19941125,0.83845
19941230,0.937268
19950127,0.23643
19950224,-0.280315
19950331,-0.097324
19950428,-0.689338
19950526,-0.227155
19950630,0.302322
19950728,-0.798605
19950825,0.987709
19950929,0.228725
19951027,-0.380201
19951124,-0.097899
19951229,0.059808
19960126,-1.300472
19960223,1.139561
19960329,-0.220738
19960426,0.563325
19960531,0.588685
19960628,0.650551
19960726,-0.008068
19960830,0.369756
19960927,0.400547
19961025,0.039537
19961129,0.651247
19961227,0.132321
19970131,0.280199
19970228,1.095069
19970328,0.492521
19970425,0.190858
19970530,0.401169
19970627,0.524941
19970725,0.869222
19970829,0.459081
19970926,0.887522
19971031,0.714504
19971128,0.97364
19971226,0.08132
19980130,0.489545
19980227,0.411403
19980327,-0.004367
19980424,0.379471
19980529,0.419407
19980626,-0.675749
19980731,-0.714668
19980828,1.586036
19980925,-0.100069
19981030,0.396017
19981127,0.109703
19981225,0.310433
19990129,0.160153
19990226,0.676666
19990326,-0.169954
19990430,0.071916
19990528,0.751747
19990625,-0.174167
19990730,0.310128
19990827,0.4448
19990924,-0.292284
19991029,1.218193
19991126,0.535384
19991231,0.84035
20000128,0.433205
20000225,-0.33944
20000331,0.685508
20000428,0.762737
20000526,-0.723065
20000630,0.163203
20000728,-0.360857
20000825,-0.660236
20000929,0.437618
20001027,-0.719504
20001124,-0.498741
20001229,-0.430778
20010126,-1.188085
20010223,-0.919739
20010330,-1.10352
20010427,-1.476697
20010525,-0.877353
20010629,-1.533615
20010727,-0.912839
20010831,-0.958144
20010928,-1.556957
20011026,-1.068525
20011130,-1.322912
20011228,-0.563327
20020125,-0.316685
20020222,-0.282132
20020329,-0.129078
20020426,-0.047977
20020531,0.035961
20020628,0.393279
20020726,-0.654233
20020830,-0.194524
20020927,-0.432078
20021025,-0.62686
20021129,-0.026457
20021227,-0.988157
20030131,0.424646
20030228,-0.646687
20030328,-0.495949
20030425,-1.083618
20030530,-0.160203
20030627,0.005457
20030725,0.010764
20030829,-0.312773
20030926,0.419362
20031031,0.191802
20031128,0.688833
20031226,-0.038451
20040130,0.153366
20040227,0.538058
20040326,0.573774
20040430,0.298463
20040528,0.840961
20040625,-0.410882
20040730,0.620831
20040827,0.349033
20040924,0.129438
20041029,0.767747
20041126,-0.075158
20041231,0.963079
20050128,0.369018
20050225,0.576604
20050325,-0.39451
20050429,0.793194
20050527,0.018298
20050624,0.452155
20050729,-0.052659
20050826,0.332106
20050930,-0.875726
20051028,0.998529
20051125,0.941352
20051230,0.436766
20060127,0.716494
20060224,0.118343
20060331,0.313937
20060428,-0.061549
20060526,-0.143899
20060630,0.034955
20060728,-0.432288
20060825,0.273469
20060929,-0.087402
20061027,-0.409125
20061124,-0.245394
20061229,1.025523
20070126,-0.770877
20070223,0.269283
20070330,0.36774
20070427,-0.187991
20070525,-0.039946
20070629,-0.152489
20070727,-0.590761
20070831,-0.284091
20070928,-0.068607
20071026,-0.627385
20071130,-0.102976
20071228,-0.644257
20080125,-0.530877
20080229,-1.16178
20080328,-1.233338
20080425,-1.216051
20080530,-1.397437
20080627,-1.195798
20080725,-1.913353
20080829,-2.061073
20080926,-3.706443
20081031,-1.958584
20081128,-3.667032
20081226,-4.372239
20090130,-4.686397
20090227,-2.410095
20090327,-3.752982
20090424,-2.684897
20090529,-2.077142
20090626,-1.667495
20090731,-0.095326
20090828,-0.316344
20090925,-0.49692
20091030,-0.675262
20091127,-0.057959
20091225,-0.706743
20100129,0.212195
20100226,-0.628133
20100326,0.564483
20100430,0.599929
20100528,0.454045
20100625,-0.292898
20100730,0.174253
20100827,-0.294165
20100924,-0.359233
20101029,-0.169155
20101126,-0.437319
20101231,0.190863
20110128,-0.000709
20110225,-0.427429
20110325,0.528102
20110429,-0.597107
20110527,-0.434286
20110624,-0.120407
20110729,0.278041
20110826,-0.116638
20110930,-0.307837
20111028,0.214725
20111125,-0.52714
20111230,0.435992
20120127,0.611988
20120224,0.023107
20120330,-0.488854
20120427,0.030973
20120525,-0.331662
20120629,-0.507033
20120727,-0.357948
20120831,-0.65797
20120928,-0.115513
20121026,-0.318348
20121130,0.275415
20121228,0.26449
20130125,-0.405551
20130222,0.371712
20130329,-0.399019
20130426,-0.487765
20130531,0.089509
20130628,-0.166793
20130726,-0.813267
20130830,0.517342
20130927,0.159241
20131025,-0.075495
20131129,0.457052
20131227,-0.164108
20140131,-0.93387
20140228,0.615858
20140328,0.60603
