INDEX_NAME,INDEX_CODE,INDEX_DATE,CLOSE_INDEX_VALUE,NET_CHANGE,% CHANGE
S&P SmallCap 600 Pure Growth (TR),600PGTR,30-Jun-95,1005.194369,,
S&P SmallCap 600 Pure Growth (TR),600PGTR,3-Jul-95,1002.779567,-2.414802433,-0.002402324
S&P SmallCap 600 Pure Growth (TR),600PGTR,5-Jul-95,1010.725896,7.946329351,0.007924303
S&P SmallCap 600 Pure Growth (TR),600PGTR,6-Jul-95,1021.28424,10.55834387,0.010446298
S&P SmallCap 600 Pure Growth (TR),600PGTR,7-Jul-95,1033.069913,11.78567243,0.011540051
S&P SmallCap 600 Pure Growth (TR),600PGTR,10-Jul-95,1038.453827,5.383914095,0.005211568
S&P SmallCap 600 Pure Growth (TR),600PGTR,11-Jul-95,1042.312094,3.858267336,0.003715396
S&P SmallCap 600 Pure Growth (TR),600PGTR,12-Jul-95,1060.942806,18.63071171,0.017874408
S&P SmallCap 600 Pure Growth (TR),600PGTR,13-Jul-95,1062.593557,1.650751365,0.001555929
S&P SmallCap 600 Pure Growth (TR),600PGTR,14-Jul-95,1064.274901,1.681344116,0.001582302
S&P SmallCap 600 Pure Growth (TR),600PGTR,17-Jul-95,1070.615802,6.340900745,0.005957954
S&P SmallCap 600 Pure Growth (TR),600PGTR,18-Jul-95,1057.237896,-13.3779055,-0.012495524
S&P SmallCap 600 Pure Growth (TR),600PGTR,19-Jul-95,1027.61521,-29.62268594,-0.028018941
S&P SmallCap 600 Pure Growth (TR),600PGTR,20-Jul-95,1039.403953,11.78874291,0.011471943
S&P SmallCap 600 Pure Growth (TR),600PGTR,21-Jul-95,1046.887996,7.48404273,0.007200322
S&P SmallCap 600 Pure Growth (TR),600PGTR,24-Jul-95,1059.297907,12.40991067,0.011854096
S&P SmallCap 600 Pure Growth (TR),600PGTR,25-Jul-95,1070.08591,10.78800284,0.010184107
S&P SmallCap 600 Pure Growth (TR),600PGTR,26-Jul-95,1078.140223,8.054313131,0.007526791
S&P SmallCap 600 Pure Growth (TR),600PGTR,27-Jul-95,1089.809778,11.66955529,0.010823783
S&P SmallCap 600 Pure Growth (TR),600PGTR,28-Jul-95,1092.44717,2.637391704,0.002420048
S&P SmallCap 600 Pure Growth (TR),600PGTR,31-Jul-95,1099.410117,6.962947521,0.006373716
S&P SmallCap 600 Pure Growth (TR),600PGTR,1-Aug-95,1089.464217,-9.945900163,-0.009046579
S&P SmallCap 600 Pure Growth (TR),600PGTR,2-Aug-95,1085.7949,-3.669317275,-0.003368002
S&P SmallCap 600 Pure Growth (TR),600PGTR,3-Aug-95,1081.214681,-4.580219178,-0.00421831
S&P SmallCap 600 Pure Growth (TR),600PGTR,4-Aug-95,1091.194999,9.980318108,0.009230654
S&P SmallCap 600 Pure Growth (TR),600PGTR,7-Aug-95,1094.257522,3.062523069,0.002806577
S&P SmallCap 600 Pure Growth (TR),600PGTR,8-Aug-95,1092.209975,-2.04754695,-0.001871175
S&P SmallCap 600 Pure Growth (TR),600PGTR,9-Aug-95,1096.628871,4.418895885,0.00404583
