Date,CPI
19890131,121.2
19890228,121.6
19890331,122.2
19890428,123.1
19890531,123.7
19890630,124.1
19890731,124.5
19890831,124.5
19890929,124.8
19891031,125.4
19891130,125.9
19891229,126.3
19900131,127.5
19900228,128
19900330,128.6
19900430,128.9
19900531,129.1
19900629,129.9
19900731,130.5
19900831,131.6
19900928,132.5
19901031,133.4
19901130,133.7
19901231,134.2
19910131,134.7
19910228,134.8
19910329,134.8
19910430,135.1
19910531,135.6
19910628,136
19910731,136.2
19910830,136.6
19910930,137
19911031,137.2
19911129,137.8
19911231,138.2
19920131,138.3
19920228,138.6
19920331,139.1
19920430,139.4
19920529,139.7
19920630,140.1
19920731,140.5
19920831,140.8
19920930,141.1
19921030,141.7
19921130,142.1
19921231,142.3
19930129,142.8
19930226,143.1
19930331,143.3
19930430,143.8
19930531,144.2
19930630,144.3
19930730,144.5
19930831,144.8
19930930,145
19931029,145.6
19931130,146
19931231,146.3
19940131,146.3
19940228,146.7
19940331,147.1
19940429,147.2
19940531,147.5
19940630,147.9
19940729,148.4
19940831,149
19940930,149.3
19941031,149.4
19941130,149.8
19941230,150.1
19950131,150.5
19950228,150.9
19950331,151.2
19950428,151.8
19950531,152.1
19950630,152.4
19950731,152.6
19950831,152.9
19950929,153.1
19951031,153.5
19951130,153.7
19951229,153.9
19960131,154.7
19960229,155
19960329,155.5
19960430,156.1
19960531,156.4
19960628,156.7
19960731,157
19960830,157.2
19960930,157.7
19961031,158.2
19961129,158.7
19961231,159.1
19970131,159.4
19970228,159.7
19970331,159.8
19970430,159.9
19970530,159.9
19970630,160.2
19970731,160.4
19970829,160.8
19970930,161.2
19971031,161.5
19971128,161.7
19971231,161.8
19980130,162
19980227,162
19980331,162
19980430,162.2
19980529,162.6
19980630,162.8
19980731,163.2
19980831,163.4
19980930,163.5
19981030,163.9
19981130,164.1
19981231,164.4
19990129,164.7
19990226,164.7
19990331,164.8
19990430,165.9
19990531,166
19990630,166
19990730,166.7
19990831,167.1
19990930,167.8
19991029,168.1
19991130,168.4
19991231,168.8
20000131,169.3
20000229,170
20000331,171
20000428,170.9
20000531,171.2
20000630,172.2
20000731,172.7
20000831,172.7
20000929,173.6
20001031,173.9
20001130,174.2
20001229,174.6
20010131,175.6
20010228,176
20010330,176.1
20010430,176.4
20010531,177.3
20010629,177.7
20010731,177.4
20010831,177.4
20010928,178.1
20011031,177.6
20011130,177.5
20011231,177.4
20020131,177.7
20020228,178
20020329,178.5
20020430,179.3
20020531,179.5
20020628,179.6
20020731,180
20020830,180.5
20020930,180.8
20021031,181.2
20021129,181.5
20021231,181.8
20030131,182.6
20030228,183.6
20030331,183.9
20030430,183.2
20030530,182.9
20030630,183.1
20030731,183.7
20030829,184.5
20030930,185.1
20031031,184.9
20031128,185
20031231,185.5
20040130,186.3
20040227,186.7
20040331,187.1
20040430,187.4
20040531,188.2
20040630,188.9
20040730,189.1
20040831,189.2
20040930,189.8
20041029,190.8
20041130,191.7
20041231,191.7
20050131,191.6
20050228,192.4
20050331,193.1
20050429,193.7
20050531,193.6
20050630,193.7
20050729,194.9
20050831,196.1
20050930,198.8
20051031,199.1
20051130,198.1
20051230,198.1
20060131,199.3
20060228,199.4
20060331,199.7
20060428,200.7
20060531,201.3
20060630,201.8
20060731,202.9
20060831,203.8
20060929,202.8
20061031,201.9
20061130,202
20061229,203.1
20070131,203.437
20070228,204.226
20070330,205.288
20070430,205.904
20070531,206.755
20070629,207.234
20070731,207.603
20070831,207.667
20070928,208.547
20071031,209.19
20071130,210.834
20071231,211.445
20080131,212.174
20080229,212.687
20080331,213.448
20080430,213.942
20080530,215.208
20080630,217.463
20080731,219.016
20080829,218.69
20080930,218.877
20081031,216.995
20081128,213.153
20081231,211.398
20090130,211.933
20090227,212.705
20090331,212.495
20090430,212.709
20090529,213.022
20090630,214.79
20090731,214.726
20090831,215.445
20090930,215.861
20091030,216.509
20091130,217.234
20091231,217.347
20100129,217.488
20100226,217.281
20100331,217.353
20100430,217.403
20100531,217.29
20100630,217.199
20100730,217.605
20100831,217.923
20100930,218.275
20101029,219.035
20101130,219.59
20101231,220.472
20110131,221.187
20110228,221.898
20110331,223.046
20110429,224.093
20110531,224.806
20110630,224.806
20110729,225.395
20110831,226.106
20110930,226.597
20111031,226.75
20111130,227.169
20111230,227.223
20120131,227.842
20120229,228.329
20120330,228.807
20120430,229.187
20120531,228.713
20120629,228.524
20120731,228.59
20120831,229.918
20120928,231.015
20121031,231.638
20121130,231.249
20121231,231.221
20130131,231.679
20130228,232.937
20130329,232.282
20130430,231.797
20130531,231.893
20130628,232.445
20130731,232.9
20130830,233.456
20130930,233.544
20131031,233.669
20131129,234.1
20131231,234.719
20140131,235.288
20140228,235.547
20140331,236.028
20140430,236.468
20140530,236.918
20140630,237.231
20140731,237.498
20140829,237.46
20140930,237.477
20141031,237.43
20141128,236.983
20141231,236.252
20150130,234.718
20150227,235.236
20150331,236.005
20150430,236.156
20150529,236.974
20150630,237.684
20150731,238.053
20150831,238.028
20150930,237.506
20151030,237.781
20151130,238.016
20151231,237.817
20160129,237.833
20160229,237.469
20160331,238.038
20160429,238.827
20160531,239.464
20160630,240.167
20160729,240.15
20160831,240.602
20160930,241.051
20161031,241.691
20161130,242.029
20161230,242.772
20170131,243.78
20170228,243.961
20170331,243.749
20170428,244.051
20170531,243.962
20170630,244.182
20170731,244.39
20170831,245.297
20170929,246.418
20171031,246.587
20171130,247.332
20171229,247.901
20180131,248.884
20180228,249.369
20180330,249.498
20180430,249.956
20180531,250.646
20180629,251.134
20180731,251.597
20180831,251.879
20180928,252.01
20181031,252.794
20181130,252.76
20181231,252.723
20190131,252.673
