Date,M2
19881230,2989.5
19890127,2994.6
19890224,2987.1
19890331,3002.7
19890428,3008.9
19890526,3005.7
19890630,3030.6
19890728,3053.8
19890825,3072.6
19890929,3090.8
19891027,3116.6
19891124,3132.5
19891229,3157.3
19900126,3166.4
19900223,3179.9
19900330,3194.2
19900427,3202.9
19900525,3201.5
19900629,3217.1
19900727,3224.8
19900831,3246.6
19900928,3254.5
19901026,3256.8
19901130,3267.2
19901228,3276.1
19910125,3289.1
19910222,3303
19910329,3327.1
19910426,3331.9
19910531,3345.6
19910628,3351.1
19910726,3356.8
19910830,3358.5
19910927,3354.5
19911025,3362.4
19911129,3366.5
19911227,3371.1
19920131,3393.5
19920228,3402.5
19920327,3404
19920424,3397.8
19920529,3397
19920626,3394.3
19920731,3396.5
19920828,3398.7
19920925,3412.4
19921030,3429.2
19921127,3421.5
19921225,3421.6
19930129,3415.5
19930226,3415.7
19930326,3409.6
19930430,3411.1
19930528,3434.3
19930625,3442.2
19930730,3442.3
19930827,3443.9
19930924,3453.7
19931029,3453.7
19931126,3470.8
19931231,3474.6
19940128,3477.1
19940225,3475.4
19940325,3481.9
19940429,3480.1
19940527,3491.2
19940624,3476.4
19940729,3490.3
19940826,3487.4
19940930,3490.4
19941028,3483.6
19941125,3490.8
19941230,3486.1
19950127,3495.2
19950224,3486.9
19950331,3495.1
19950428,3502.5
19950526,3528.9
19950630,3552.3
19950728,3570.6
19950825,3591.7
19950929,3606.1
19951027,3612.8
19951124,3620
19951229,3632.2
19960126,3647.6
19960223,3660.7
19960329,3689.3
19960426,3695.6
19960531,3708.3
19960628,3721
19960726,3740.4
19960830,3745.6
19960927,3749.4
19961025,3772.6
19961129,3792.2
19961227,3813.6
19970131,3826.9
19970228,3836.5
19970328,3852.2
19970425,3869.5
19970530,3887.7
19970627,3894
19970725,3912
19970829,3953.9
19970926,3960.9
19971031,3984
19971128,4007.1
19971226,4021.3
19980130,4047.7
19980227,4086.2
19980327,4102.6
19980424,4133.5
19980529,4156.4
19980626,4172.8
19980731,4193.5
19980828,4220.4
19980925,4262.3
19981030,4311.7
19981127,4337.6
19981225,4364.9
19990129,4389.5
19990226,4419.5
19990326,4420.4
19990430,4459.6
19990528,4477.5
19990625,4500
19990730,4532.6
19990827,4541.4
19990924,4562
19991029,4585
19991126,4604.6
19991231,4638.7
20000128,4667.7
20000225,4667.4
20000331,4712.2
20000428,4767.6
20000526,4745.3
20000630,4761.3
20000728,4783
20000825,4811.7
20000929,4844.8
20001027,4859.4
20001124,4866.2
20001229,4924.3
20010126,4972.2
20010223,5000.9
20010330,5073.1
20010427,5138
20010525,5124.9
20010629,5162.2
20010727,5194.4
20010831,5232.1
20010928,5355.1
20011026,5320.1
20011130,5381.3
20011228,5416.9
20020125,5436.7
20020222,5467.9
20020329,5475.3
20020426,5481.2
20020531,5517.1
20020628,5537.2
20020726,5580.2
20020830,5620.9
20020927,5639
20021025,5691
20021129,5732.8
20021227,5758
20030131,5804.6
